信件标题,回复单位,回复时间,links
调小洒水量，错峰作业,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=43A9831C6123436C87668D60C4119471
反映砍伐树木的情况,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1413AF1DFD7646FFACE977A97174BFD7
物业推放废弃大型垃圾在小区东北门,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=01E814370D0B4C4D8F1AD742D97D4349
沪崇高速建设进度加快,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1E80F49250E44DE1B865F9277330953E
金山金水湖交通出行问题,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0608CDC94AF444D0857482F37E59A0D1
退休问题,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7F8B62CA39AF426FA040198948522F29
在绿化草地发现了绶草,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=85D3C60531254B90861C1093C8A37487
金山金水湖建议增加一个一站，虹桥枢纽7路,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6E4D75539E9D4C17A6A2E18C77E177F3
对垃圾分类问题的建议,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2DE0297F6AED42B8BD462BDDD94C33B5
嘉定公交延长时间,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=344C7A77C8724484B1C8EFA530FAB752
随申办“灵活就业一件事”,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5201839DBC8742FA8636F8F3225C40E2
贤通快速公交 奉浦快线 不按规定开空调,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=775D21A5CB7F44C280DD1150484677F2
关于漕宝路快速路项目影响居民,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0F750290B09D498A8AB2A42DA27CD782
时隔6年23路公交车为何迟迟不恢复原来走向,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=71C373C5DF4740CB8343AFF714C21A6A
档案问题,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AC05C58EC4CB40E7AEC42E2A5D2259C8
反映滴滴平台违规违法行为,上海市交通委员会执法总队,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7959748698B642FAAE729B55F9432296
建议对油车占用充电车位进行处罚,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7F1E92A3023548A1BC46C0F95432F595
虹桥7路在金水湖增加1个站点，居民无论是上班、出差、出游，都会方便很多。,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5F107B6C3F244C56A0DD39723F4B1534
漕宝路合川路的通风塔距离民区过近,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=62DB7A7A1F4B4033B196E98B29CDFD44
时隔6年，金陵中路恢复通行，23路公交车为何迟迟不恢复！,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=020C1FF161144F24B5FD383C6F68D380
五险一金信息修改,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B430C73B62D34F96A35D3DF95CFA600B
外立面擅自安装晾衣架,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9C99F104CAC74D238E768FE362F8BDD7
关于三属免费乘坐公交的问题,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=249695C7ADD448A1973353EDC9E1981B
申请虹桥枢纽七路开进金水湖社区，增加客流量，解决居民公交最后一公里问题,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8B53F602A71743FA86B3422EB70174C9
金山区高新区金水湖交通优化,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7D5A5BAF072E4597BBC535FEA333D247
上海垃圾桶越来越少,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6B0FC3FDF2CA4024963F59583AEE6B32
时隔六年，金陵中路恢复通行，23路公交车为何迟迟不恢复！,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6A5939BBEFBF4ECB8807918B759BFE48
曹操出行平台上的非法网约车,上海市交通委员会执法总队,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4CE18D50520D4114BA11C9FCFDC82D51
非上海生源应届生双一流学科问题,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6B113FCE770B4D6D9B0150EBB21FC319
关于轨道交通23号线龙启路站的命名问题,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EAA524CD0C6847D596AEA552F838EB9C
希望垃圾按照编号分类，减少识别垃圾分类的麻烦,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=BC93624745484D18B2D9182F0AD18353
南枫线庄行地区设站,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EC0D80609475421BA9D3814A5E7508D2
违建,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8F6CE147878E4D868C76E854A5897B40
绿地内保洁,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=61C901B3ADE143F3A0BFF1961332A7C0
上海植物园的开门时间要统一,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0845BB2F28FE4CC0A463ECBF4C93D186
学生正确使用电子产品,上海市教育委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=54F942812AAB41AD82514E2A20ED3BB5
应届毕业生落户,上海市教育委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E1D3B8B7428B4D0E8E824FF92BF1ECB7
小区地下车位的投诉,上海市嘉定区外冈镇人民政府,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C67DBF88DA014B1DA94DEB796E22C684
建房问题,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6EDAED0ACDDF4322976A01C69713CB85
学生调档,上海电机学院,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B0F0EE21E9CC43CAA55BB7DF3CDBE139
高校走读,上海建桥学院,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7A6059096B844532A182337508CC813F
小学开设高年级班级,上海市浦东新区教育局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FE24D93987B149D5A46D0F7533CD2230
学校收费,上海建桥学院,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D40685AD213345058ECD019C30F0FC78
建议修改相关教材,上海市教育委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A114A57487124AF99E5A933699ADFECB
暑期学校场馆开放,上海市徐汇区教育局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=18811B42C1BC44FEB728EF888E97AED5
自学考试增加专业,上海市教育委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C21C5755332A41B1ACD9E3D09C89B36B
幼儿园暑托班,上海市虹口区教育局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=CB07FD16303C4246918BB28FD17810A6
楼盘质量,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9A317EC6402949B791794E66920ADB7D
孩子入学,上海市浦东新区教育局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4E2116326356440BB736F4FAACB8B435
毕业生落户,上海市学生事务中心,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=92F5AC32CACE4CAC9930B3FF245EB520
幼儿教育,上海市浦东新区教育局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=56CE9D13876D401B86B9A2C6CAFB7F63
关于停车场收费的问题,上海市嘉定区江桥镇人民政府,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=08CC0E04875144808915C8D1261BF61B
中西部基层就业学费代偿资金何时下发,上海市学生事务中心,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=07397D1C5301453E82131DEF42CB82EC
质量投诉,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5BEB3261BE174460BD9CBBD0645F1AC3
学校建设,上海市嘉定区教育局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=09149C29011C4988B21B862559CCFF8C
对小区所有车位全部都是固定车位的方案做出调整,上海市嘉定工业区管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FF464CF0A94045C9A3CA6B88B4BB4BE1
投诉物业,上海市嘉定区菊园新区管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1055F2EC3A384FF5BBB33457341B1D83
在建楼盘质量问题投诉,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=884EEEE270794FE6907941F6F17FF3E9
质量问题,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=30A6457A39C94716BAB9DEEDAAD69720
闵行莘庄城市建设,上海市莘庄工业区,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2ED5BFF5B78B4A4E93419DA38D4C258F
房屋漏水,上海市虹口区人民政府江湾镇街道办事处,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E12F5F345951492298A10FFF866C46CA
加装电梯违法侵害业主合法权益,上海市虹口区人民政府江湾镇街道办事处,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FB52E673569E4CBB940D6B7E6881B756
嘉定区江桥收费站拥堵问题,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=40933722CEC9497485E8C45FCFED9BB8
外环线噪音扰民,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=860337A1F9DC43EDB9F9857C5D9129A8
上海147公交司机不按规定佩戴口罩,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=48CC482C45A74FCDAA0E96FFD6749C8E
关于某某银行信用卡某某分行违规问题处理的意见建议,国家税务总局上海市第三税务分局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=44DF79A334C44C4898D1DEE7DFA6EBFE
曹操出行上的黑车,上海市交通委员会执法总队,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4ACF97CBCB7A49C89BAD00986BBE4F19
要求阡陌学车福龙驾校退全款学费,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C23F22831AE14F9C84423AFA77286DD9
2家驾校联合自然人诈骗,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=BB8AD3C90DDC45179B666BD41DEC846E
G2高速路面清扫不及时致无法车损索赔,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6B3193F2DAFD4E7DAD4C03DC4C3E1CE5
上海市松江区嘉松中路至嘉松南路上三泾港桥建议修缮,上海市道路运输管理局,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C498FC3B98234E38AB8098258E747584
要求市交通委积极履职,上海市交通委员会执法总队,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D87EB5AE27BB4A499514FAC42BA18806
关于小区车辆管理问题,上海市金山区漕泾镇人民政府,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=87A6290CBB8949AC80CB3435469B9633
感谢信,上海市黄浦区人民政府小东门街道办事处,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F7455910DEA84BA8ADF8C1136C55922D
虹口区彩虹湾四期墨翠里居民关于江杨南路噪音问题的诉求,上海市虹口区建设和管理委员会,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=899F2CC2C70141C0A79BFEA66C4ABEC6
关于和平公园公共设施开放问题,上海市虹口区国有资产监督管理委员会,2023-06-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C1FB0C75128A4A39B61C5B01BBB0B86E
投诉上海路政不作为,国网上海市电力公司,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4749B98D5D0F4FDB9D578A9E58CDB646
图书馆开放时间延长,上海市静安区文化和旅游局,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0B41355AB6C646A58EAB256D6C25A52F
小区停车难问题,上海市静安区人民政府天目西路街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=453E88A9D9E54CADAF5EA1B5684EA403
河边有人钓鱼,上海市静安区人民政府天目西路街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=DA083610E2724B16B16D6E7698F2EFD6
附近流浪猫过多,上海市静安区人民政府天目西路街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B96905B231ED44ACAFDD8B2FF36D045A
医保卡功能改善,上海市医疗保障局,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2D131B3CE5984189AD65F078CA80665F
长三角地区基本医疗保险关系转移接续无法使用,上海市医疗保障局,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=38C18D68F51B4D28AFBEAE273AE75147
楼盘质量,上海市嘉定区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7C5492D7F58B4E6AB09FF5CF86D48057
关于物业登记停车位时要求提供“三证”等违法事项,上海市长宁区新泾镇人民政府,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C31C3F222B5541BBAB45CDFE85C673CC
楼盘质量,上海市嘉定区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A655E1AEE91C4D87B8F9C48E4723D5F0
关于小区停车费收费问题,上海市奉贤区金海街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5D3829FDA965460B940E96336CBB6105
关于旧房改造问题,上海市金山区朱泾镇人民政府,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D3A10A73AA384B7CB15A86A3A8F710DF
关于环境整治问题,上海市金山区朱泾镇人民政府,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F28813AEE7714BE39D0547F615A31E4A
关于个人充电桩安装遇阻问题,国网上海市电力公司,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4F671AD02F88410EB8A9A66B5D6F4C77
为何两次提请噪音监测无果,上海市浦东新区生态环境局,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=CCF584936A734D459FBCDCF56ED30612
关于交通出现问题,上海市金山区交通委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=06673054DA6841778F5D072447DAD2F0
上海市长宁区“晶苑”新商品房交付不合格投诉！,上海市长宁区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7C0AC09406374CF88ACE925EE8A603DE
施工噪音问题,上海市普陀区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AAAB190DD1A345559D1D39F9B03073AE
华山医院门诊叫号系统存在问题,复旦大学附属华山医院,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=3506310BDE1440CC8AAEBB05F6B7BAA2
建议给予华山医院肝炎科陈医生和吕医生以最美医生称号,复旦大学附属华山医院,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9A61E6E8B57A413EAF83B2E637F19249
楼盘质量问题,上海市嘉定区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=35D717C5F5A24A10A7500E6981A4B209
寻求法律援助,上海市普陀区人民政府曹杨新村街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=018714315D834A569D83F397DE46066E
健身房退卡退费难,上海市普陀区文化和旅游局执法大队,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=152C2032F03541E19302199E7F22A5CA
要求健身房退款,上海市普陀区文化和旅游局执法大队,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4FCB2F3C549C428CA828E580F1714403
如何办理失业金补助,上海市普陀区人民政府曹杨新村街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=869CF4C686EE46369CB12DEAA179EFEC
就业帮扶,上海市普陀区人民政府曹杨新村街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=72EE447EDEB14515AC1155C2B234AB15
医疗救助,上海市普陀区人民政府曹杨新村街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F9D146CE400E4F5799D6A9AD651D80A9
加大中医的投入,上海市普陀区卫生健康委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7E48959F31994193BB4EC1C039A1D851
申请廉租房,上海市普陀区人民政府曹杨新村街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=DCFBE0EF825445C0B40E8FA498C2DEF7
申请共有产权房,上海市普陀区人民政府曹杨新村街道办事处,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=BCD4F54815F0484C9CAEBA15DA976FEB
上海易鑫不配合客户车辆解压，要求客户联系第三方公司付费解决,上海市嘉定区经济委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1F7167E480C14F61A2F899ED3DCE9506
武定路昌化路施工问题,上海市静安区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C0D5684F081F4D36A6A3DA87A4317833
西藏北路853弄旧改征收计划,上海市静安区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=34C9D8F17B0B4E9597284814FF1DECAA
长乐路682弄二级旧里何时征收问题,上海市静安区建设和管理委员会,2023-06-28,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=52E6794BB753473F87154D89187CAB24
加快初中学校建设,上海市嘉定区教育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5DA05C17664A4B75BE0A3FD4FE9A72CB
规划公示意见,上海市嘉定区规划和自然资源局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=88D2EA454F0F40868FF5C22439167D31
物业不作为,上海市嘉定区菊园新区管理委员会,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6FBB42D0C9F348B399627D6565229F31
楼道水管矛盾,上海市静安区人民政府天目西路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7C277183E8074CDA849D8B57CE5F5CE8
电话渠道,上海市静安区教育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=17C1045E05784B3984268AE8A8E614B7
向虹口区房管局报备祥德路264弄某号单元楼 加梯征询结果,上海市虹口区人民政府欧阳路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B68BDF50125E43E0B12AA158B6CE138F
一池浴室私自变更营业门口和装修,上海市虹口区人民政府欧阳路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=82402828F8884413B158385E4C03CEE6
关于车辆出入小区的建议,上海市奉贤区建设和管理委员会,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=13CACF5819BF4C5CADACD17661627A0D
投诉平台霸王条款拒绝提现,中共上海市黄浦区委员会宣传部,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C5634847F2D94F0A861381A352B4CC61
阻碍正常维权,中共上海市黄浦区委员会宣传部,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AEA410FD8BBD4FF390ACB6667E52F1A1
乱装电梯影响居民生活,上海市长宁区人民政府华阳路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D77694F09B484682B7C7D93F85273E50
上海青众物业造成车辆损伤，拒不赔偿,上海市长宁区人民政府江苏路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A07B15A5B67A4733BB798EE972FB9DD3
杨宅路40弄化纤小区 监控损坏长期未修理,上海市长宁区人民政府新华路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8AC9272A5446448C896B9278C14D55A6
长宁区新潮路乱划停车位，严重影响出行安全,上海市长宁区建设和管理委员会,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=28BDABA3DAC94075958B890B67789E39
关于小区管理和业委会模式的建议,上海市房屋管理局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7CC406F5E00A43809054C1D210F8E6A4
关于完善优化本市加装电梯政策流程的建议,上海市房屋管理局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5412C4623FFE4BCCA25B1FC4D29E82AC
建议增开中环一号社区市民篮球场,上海市体育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8FC8E04068B24384817D11A74D956CB3
关于义务教育学校规划,上海市嘉定区教育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1C9A0F1A5A7F4803897E1D1C902415A4
咨询转学,上海市嘉定区教育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=DECE5FA3D5F14CAE9250C40A4B77922B
楼盘质量问题,上海市嘉定区建设和管理委员会,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6CC1C01CDD174DEDAB6875D14817F0D0
关于占用公共楼道、阻碍消防通道的问题,上海市奉贤区金海街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9B5FCAD14B3D4072BF93B5928631CF44
关于电子烟禁烟标志问题,上海市奉贤区海湾镇人民政府,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A21D8E2AD3A044CEA8FC83079402BC36
咨询建筑工地夜间施工规定,上海市生态环境局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=882797A6EAD34A61AB960F566E141366
海伦大厦申请美丽家园项目立项,上海市虹口区人民政府嘉兴路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B98B08ADCC5F406DA337F8523099D82E
油烟扰民,上海市虹口区人民政府嘉兴路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B74D6AD0019046F28FDA5D4DCE974DDA
教师认定无法预约体检,上海市黄浦区教育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=23662DDD41404BA5A77AE9FEDB7928C2
关于房屋漏水问题的信访,上海市黄浦区人民政府半淞园路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8988F00DB0404AF180710F93F3C47285
请求协调培训机构退费,上海市黄浦区教育局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B9DB5C92927C4CB99F1C3F62B873C2F5
希望居委加强电梯安装协调,上海市黄浦区人民政府半淞园路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=755B31C410FD47119728AA7B949B3639
户口迁移奖励费,上海黄浦第二房屋征收服务事务所有限公司,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=BFC60075D59245FC9CE1148334BC401A
业委会换届,上海市闵行区人民政府古美路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=CF4DD2E33C1D4C3E91611E2D1AF5B4B9
物业不作为,上海市闵行区人民政府古美路街道办事处,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F33877689F9B46BDA2468AE47886B781
买到假兽药，无处申诉，多方投诉无门！,上海市农业农村委员会,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=757B8CF86AAE44088A536EF26B791998
索要工资,上海市徐汇区人力资源和社会保障局,2023-06-27,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AACA9A90F9F64870AC9532A3F8EB1FB8
